id,protected,verified,description,name,pinned_tweet_id,url,username,profile_image_url,public_metrics,entities,location
3999191326,False,False,,J.4,1.4290952013064684e+18,,Jouujino,https://pbs.twimg.com/profile_images/1520504285028667392/3jy-9-QL_normal.jpg,"{'followers_count': 1336, 'following_count': 4805, 'tweet_count': 18991, 'listed_count': 3}",,Books
1292800899681673216,False,False,main : @nyonsense its me! teh! shitpost central • RT and spam acc • mostly joking around • 🎭🎸🐝🔺• icon: @eynue 💖💖💖💖banner: @robotcowboys 💖💖💖💖💖💖💖,🍵,1.3271599816830648e+18,,nyomnomm,https://pbs.twimg.com/profile_images/1510556469216882689/L0gdc5tS_normal.jpg,"{'followers_count': 320, 'following_count': 190, 'tweet_count': 29787, 'listed_count': 0}","{'description': {'mentions': [{'start': 7, 'end': 17, 'username': 'nyonsense'}, {'start': 103, 'end': 109, 'username': 'eynue'}, {'start': 122, 'end': 135, 'username': 'robotcowboys'}]}}",FUB free ✨👍
17304213,False,False,Founder of Art Frontier LLC,Rossnzkiwi,1.0840989099605811e+18,https://t.co/YsxEnhgKIw,Rossnzkiwi,https://pbs.twimg.com/profile_images/1492563612552024069/JuWiYxqX_normal.jpg,"{'followers_count': 123, 'following_count': 138, 'tweet_count': 29630, 'listed_count': 1}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/YsxEnhgKIw', 'expanded_url': 'http://www.ArtFrontierAdvisory.com', 'display_url': 'ArtFrontierAdvisory.com'}]}}",
599544084,False,False,"Trained as a journalist, still think like one. Retired higher ed communicator. @SDState, @GGU, and @usd alum. Born, raised, and still here in the 6️⃣0️⃣5️⃣.","Janelle Toman, Ed.D.",1.5138755718220186e+18,,JanelleToman,https://pbs.twimg.com/profile_images/1477362698837016583/zpvZ-koa_normal.jpg,"{'followers_count': 162, 'following_count': 478, 'tweet_count': 217, 'listed_count': 10}","{'description': {'mentions': [{'start': 79, 'end': 87, 'username': 'SDState'}, {'start': 89, 'end': 93, 'username': 'GGU'}, {'start': 99, 'end': 103, 'username': 'usd'}]}}","Pierre, SD"
3333786239,False,False,Orgullosa Macrista. Furiosa Anti K,gracielafernandez 🖐,8.776985140835656e+17,,gachifernandez1,https://pbs.twimg.com/profile_images/1519432475013005323/gSnpugQp_normal.jpg,"{'followers_count': 1537, 'following_count': 2328, 'tweet_count': 80434, 'listed_count': 7}",,Buenos Aires
15498411,False,False,Online Marketing Specialist in Pittsburgh. Geek girl! 🤓 Mommy of Liliana & Scarlett and wife of Ryan! 👨‍👩‍👧‍👧💕 BIG Star Wars & Harry Potter fan! 🙌🏻,Lauralynn Mangis,,https://t.co/BWnQnDTlER,Lauralynn_,https://pbs.twimg.com/profile_images/1479445764363464705/Xg9SQw8W_normal.jpg,"{'followers_count': 878, 'following_count': 2143, 'tweet_count': 4614, 'listed_count': 27}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/BWnQnDTlER', 'expanded_url': 'https://www.facebook.com/Lauralynn.Mangis', 'display_url': 'facebook.com/Lauralynn.Mang…'}]}}","Pittsburgh, PA"
36716230,False,False,hampshire📍pisces ☼ taurus ☽ scorpio ↑,bex ꕥ,1.5206969442717123e+18,https://t.co/J7EAHc0wWj,bexxjoseph,https://pbs.twimg.com/profile_images/1519307811662053376/7U827wwC_normal.jpg,"{'followers_count': 242, 'following_count': 164, 'tweet_count': 13954, 'listed_count': 0}","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/J7EAHc0wWj', 'expanded_url': 'http://www.instagram.com/bexxjoseph', 'display_url': 'instagram.com/bexxjoseph'}]}}","Basingstoke, England "
893859040803082240,False,False,"♀️ TIRF 🏳️‍⚧️, apóstata❌, antitaurómaca🐃 , vegetariana🍏. #Xl8 jurada #Lengua #Francés #Inglés. Cuenta alt: @duIcetatin.","Dulce Tatín, Ágata y Lili",1.2941559555051602e+18,,DulceTatin,https://pbs.twimg.com/profile_images/1519345677653925889/bWfmFfBX_normal.jpg,"{'followers_count': 1974, 'following_count': 4987, 'tweet_count': 64219, 'listed_count': 3}","{'description': {'hashtags': [{'start': 57, 'end': 61, 'tag': 'Xl8'}, {'start': 69, 'end': 76, 'tag': 'Lengua'}, {'start': 77, 'end': 85, 'tag': 'Francés'}, {'start': 86, 'end': 93, 'tag': 'Inglés'}], 'mentions': [{'start': 107, 'end': 118, 'username': 'duIcetatin'}]}}",España
40474578,False,False,"Electrical Contractor - Business Owner for 22 yrs. The best way to predict the future is to create it.

#VoteBlue 🌊 #Resist 🌎 #GoodTrouble",MrsAJ,1.4792436690100142e+18,,ajmomauntieann,https://pbs.twimg.com/profile_images/1484334896025722880/RWYFYEnI_normal.jpg,"{'followers_count': 4713, 'following_count': 4809, 'tweet_count': 4001, 'listed_count': 1}","{'description': {'hashtags': [{'start': 104, 'end': 113, 'tag': 'VoteBlue'}, {'start': 116, 'end': 123, 'tag': 'Resist'}, {'start': 126, 'end': 138, 'tag': 'GoodTrouble'}]}}",FL
1451787501543333888,False,False,"Lover of reading and all things bookish. Book reviewer & part time writer. Always open to reviewing new books 😍😍
https://t.co/hmQA9KeC7v",Kelly Holland,,,bookwormblogss,https://pbs.twimg.com/profile_images/1519576907368574976/tODqTH--_normal.jpg,"{'followers_count': 1112, 'following_count': 1303, 'tweet_count': 1272, 'listed_count': 9}","{'description': {'urls': [{'start': 113, 'end': 136, 'url': 'https://t.co/hmQA9KeC7v', 'expanded_url': 'http://www.instagram.com/bookwormblogss', 'display_url': 'instagram.com/bookwormblogss'}]}}",
21515091,False,False,kaash mere gaale mein ek mota sa neela lund phasa hua,jenna,,,grangersdraco,https://pbs.twimg.com/profile_images/1505370333326589952/VGRrPxAo_normal.jpg,"{'followers_count': 707, 'following_count': 301, 'tweet_count': 84221, 'listed_count': 13}",,west
30377118,False,False,,Mike Keene,,,Cowboys60,https://pbs.twimg.com/profile_images/1352023746463326208/NKVNWZYy_normal.jpg,"{'followers_count': 64, 'following_count': 1215, 'tweet_count': 1877, 'listed_count': 1}",,
361373212,False,False,"mother/wife/sister/daughter- Slave to a Charlie the bossy Aussie, retired elementary school principal and staff trainer",Barb Nicholson ( she/her),,,J_Jmomma,https://pbs.twimg.com/profile_images/1426275511345598468/4V37rZ1J_normal.jpg,"{'followers_count': 81, 'following_count': 251, 'tweet_count': 5333, 'listed_count': 0}",,"Toronto, Ontario"
924676818245963776,False,False,"Married to Joe, 2 children, Laura and Peter, 5 grandchildren Megan, Kieran, Taylor, Nathan and Evie. Love knitting and baking cakes. Love quizzes.",Susan Scott,,,Susywong1960,https://pbs.twimg.com/profile_images/1521797353111437314/0ICo09cu_normal.jpg,"{'followers_count': 85, 'following_count': 178, 'tweet_count': 599, 'listed_count': 0}",,"Gateshead, England"
1245710397883052032,False,False,A quandale dingle fan,ethan' 💭,,,nomado24,https://pbs.twimg.com/profile_images/1515369396557869060/ZPe6Sslo_normal.jpg,"{'followers_count': 163, 'following_count': 966, 'tweet_count': 7275, 'listed_count': 3}",,
3396735672,False,False,,jessica,1.1074826604594217e+18,,savingtwinkles,https://pbs.twimg.com/profile_images/1483646086262759426/5dTY0UFz_normal.jpg,"{'followers_count': 3670, 'following_count': 1646, 'tweet_count': 27466, 'listed_count': 4}",,"Minnesota, USA"
780082391977164800,False,False,Profi LoL Bot Lane Zocker bei @SBNGLEsports,SBNGL Phunn,,,SBNGL_Phunn,https://pbs.twimg.com/profile_images/1353406323073961987/U48cbBTo_normal.jpg,"{'followers_count': 3, 'following_count': 98, 'tweet_count': 233, 'listed_count': 0}","{'description': {'mentions': [{'start': 30, 'end': 43, 'username': 'SBNGLEsports'}]}}",
