id,protected,verified,description,name,url,username,profile_image_url,public_metrics,pinned_tweet_id,location,entities
16278219,False,False,"He somehow ended up in a lot of people's Game of Thrones Twitter lists. He's fine with that. Code Monkey, Dad, Husband. FORMER OWNER OF TWITTER.",Patrick Sponaugle,https://t.co/tw3Mk3rhZS,patman23,https://pbs.twimg.com/profile_images/1435026978621599745/TVT1cQcb_normal.jpg,"{'followers_count': 2416, 'following_count': 779, 'tweet_count': 136103, 'listed_count': 88}",1.0838780210843976e+18,"Germantown, MD","{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/tw3Mk3rhZS', 'expanded_url': 'http://patricksponaugle.com/game-of-thrones', 'display_url': 'patricksponaugle.com/game-of-thrones'}]}}"
106717953,False,False,"I don’t march w/Oath Keepers...Dad, grandpa, progressive Democrat and candidate for (last) Lieutenant Governor",Larry Valencia,,LarryValencia13,https://pbs.twimg.com/profile_images/1391046388306386945/mF7QvY-c_normal.jpg,"{'followers_count': 1043, 'following_count': 2159, 'tweet_count': 12907, 'listed_count': 28}",1.5114056718703534e+18,RI,
4011510557,False,False,🌷🌵🍝,Tetraclinis,,Blancadebote,https://pbs.twimg.com/profile_images/656913427693203456/yDBjTERs_normal.jpg,"{'followers_count': 22, 'following_count': 173, 'tweet_count': 2045, 'listed_count': 0}",1.179104904071258e+18,,
2963329684,False,False,"やさしい

みんなお前の味方でよかったね(^-^)

I am natiform adoxographist,vomiturient ultra-crepidarian,forplaint quomodocunquizer.",レスナーその１,https://t.co/ZqjhPYQp7B,jdoijisjhspiej,https://pbs.twimg.com/profile_images/1245396035523866626/l-oqSeyZ_normal.png,"{'followers_count': 877, 'following_count': 954, 'tweet_count': 170716, 'listed_count': 0}",8.501838551557202e+17,描いた絵はモーメントを見てくれ,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ZqjhPYQp7B', 'expanded_url': 'https://twitter.com/jdoijisjhspiej/status/1051294279870570498', 'display_url': 'twitter.com/jdoijisjhspiej…'}]}}"
1039721198,False,False,Licenciada en filología clásica y alemana. Algún día volveré a Nueva York. Aliquando dormitat bonus Homerus...,María del Mar ن,,mmhn60,https://pbs.twimg.com/profile_images/1484837899883458561/QlRKJF3t_normal.jpg,"{'followers_count': 594, 'following_count': 555, 'tweet_count': 31306, 'listed_count': 16}",1.384561026092372e+18,Con los pies en la tierra,
1062808167015501824,False,False,"Year 6 Class Teacher 👩‍🏫- Pupil Premium Lead - Maths, Computing, Online Safety, DT and RE Subject Leader. 🤷‍♀️😜",Miss C 🐰,,HCooke994,https://pbs.twimg.com/profile_images/1410339451193204742/oKdBpuM9_normal.jpg,"{'followers_count': 127, 'following_count': 277, 'tweet_count': 901, 'listed_count': 0}",,"South West, England",
22741916,False,False,"Geek, video game reviewer, Nintendo Cheerleader, freelance writer, slightly salty mouthed podcaster. Check me out on my blog, or @AnimeKiosk",Martine B.,https://t.co/7w4bdiXIcQ,silvananoir,https://pbs.twimg.com/profile_images/460163914265677824/w3WjTfWc_normal.jpeg,"{'followers_count': 43, 'following_count': 84, 'tweet_count': 438, 'listed_count': 2}",5.474749184099164e+17,NJ,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/7w4bdiXIcQ', 'expanded_url': 'https://martinebarthelemywriter.wordpress.com/', 'display_url': 'martinebarthelemywriter.wordpress.com'}]}, 'description': {'mentions': [{'start': 129, 'end': 140, 'username': 'AnimeKiosk'}]}}"
2247075213,False,False,"Wife,Mother,Grandmother. I try every day to do my best. “When you can be anything in life, be kind” ❤️that’s how I like to live my life.",Ger Lynch 🇮🇪🇺🇦,,Ger8Lynch,https://pbs.twimg.com/profile_images/1369078000281587715/72MptYsU_normal.jpg,"{'followers_count': 136, 'following_count': 207, 'tweet_count': 1847, 'listed_count': 0}",,"South Dublin, Ireland",
14157754,False,False,🍗🍺,FR4NK,,hjwu,https://pbs.twimg.com/profile_images/1428573964985503744/fEPPQCKm_normal.jpg,"{'followers_count': 545, 'following_count': 237, 'tweet_count': 65798, 'listed_count': 18}",,台灣 TAIWAN 🇹🇼 ,
207742832,False,False,Breathe.,Banana 🍌,,Annacreegan,https://pbs.twimg.com/profile_images/1509674066734637061/VAW9vvEP_normal.jpg,"{'followers_count': 295, 'following_count': 174, 'tweet_count': 29407, 'listed_count': 7}",1.0855952512916316e+18,Ireland,
68479369,False,False,Solidarity forever.,Kaley Kennedy,,kaleybk,https://pbs.twimg.com/profile_images/1345019394523541505/41i4s9al_normal.jpg,"{'followers_count': 1378, 'following_count': 1501, 'tweet_count': 10389, 'listed_count': 48}",1.3841370042589798e+18,"Dartmouth, Nova Scotia",
1132064326146244608,False,False,"23, she/her, bi • buddie enjoyer",✨,https://t.co/tCsJHGPWrz,llandonorris,https://pbs.twimg.com/profile_images/1513976609979645959/FxSnCyhJ_normal.jpg,"{'followers_count': 623, 'following_count': 550, 'tweet_count': 26804, 'listed_count': 0}",1.294696303088345e+18,🇭🇷,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/tCsJHGPWrz', 'expanded_url': 'https://blacklivesmatters.carrd.co/', 'display_url': 'blacklivesmatters.carrd.co'}]}}"
238558907,False,False,"Llevo el plan de vida de un rico, pero me falta la pasta y me sobran las obligaciones.",Hugo de Vega,,HugoDVK,https://pbs.twimg.com/profile_images/1212694895493832704/o3hbIpcZ_normal.jpg,"{'followers_count': 139, 'following_count': 578, 'tweet_count': 16251, 'listed_count': 4}",1.3113451420166758e+18,"Madrid, en general",
