id,location,profile_image_url,description,name,public_metrics,url,pinned_tweet_id,protected,verified,username,entities
2377545981.0,"El Ejido, España",https://pbs.twimg.com/profile_images/1406720029085868040/dcguqLhK_normal.jpg,,Yari♡,"{'followers_count': 897, 'following_count': 688, 'tweet_count': 73502, 'listed_count': 1}",https://t.co/6dWkwEoETw,,False,False,Yarina_Hurtado,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/6dWkwEoETw', 'expanded_url': 'https://instagram.com/yarinahurtado13?igshid=1g7ekto71wj4k', 'display_url': 'instagram.com/yarinahurtado1…'}]}}"
1.4961544274844836e+18,"Terre Haute, IN",https://pbs.twimg.com/profile_images/1496155865556082697/dM8Gn4ax_normal.jpg,"Brother/uncle/friend,19 years old,graduate class of 2021",John,"{'followers_count': 1, 'following_count': 29, 'tweet_count': 101, 'listed_count': 1}",,,False,False,John022007,
1.1083183023616778e+18,,https://pbs.twimg.com/profile_images/1429370497926504453/GpfYkuKs_normal.jpg,たかはしです,髙橋,"{'followers_count': 18, 'following_count': 45, 'tweet_count': 350, 'listed_count': 0}",,,False,False,4SwgQU90ggmuTlO,
1.1655831902217093e+18,In a room full of books,https://pbs.twimg.com/profile_images/1520053056246743040/5ULAzEyl_normal.jpg,,Nadia,"{'followers_count': 35, 'following_count': 40, 'tweet_count': 1439, 'listed_count': 0}",,1.4970733093341348e+18,False,False,syedanadiasif,
1.3207307874198323e+18,15 // he/him ,https://pbs.twimg.com/profile_images/1518712954665021451/jAlFLldK_normal.jpg,"hfx on MCR • nsfwtwt, edtwt, proshippers/comships, MAPs + bi/pan lesbians DNI • fraysexual biromantic demiboy • priv @mitchell_way_",mitch / 12 MCR-MAY,"{'followers_count': 594, 'following_count': 836, 'tweet_count': 120337, 'listed_count': 13}",,1.456001382776025e+18,False,False,_gerawrd,"{'description': {'mentions': [{'start': 117, 'end': 131, 'username': 'mitchell_way_'}]}}"
462016679.0,"Madrid, Comunidad de Madrid",https://pbs.twimg.com/profile_images/1432670809429102598/lwNHbwfq_normal.jpg,❤️Lo que toca el alma no se olvida❤️,YG,"{'followers_count': 60, 'following_count': 103, 'tweet_count': 9339, 'listed_count': 0}",,,False,False,hileyas,
2365616599.0,San Carlos de Bariloche,https://pbs.twimg.com/profile_images/701574013835984896/Za19FAsU_normal.jpg,,Liliana Gudin,"{'followers_count': 80, 'following_count': 737, 'tweet_count': 1063, 'listed_count': 0}",,,False,False,Liligudi,
387460294.0,"Springfield, MO",https://pbs.twimg.com/profile_images/1505617645533605889/3giRr-GK_normal.jpg,Director of Illumination Dance Company at SLT. Author. Music lover. Dance maker. Theater girl. Teacher of Arts. Lover of life. Freelance editor. she/her,Angi B 📚🎶,"{'followers_count': 2038, 'following_count': 871, 'tweet_count': 75971, 'listed_count': 103}",,,False,False,AngiNicole722,
1552067130.0,she/her ,https://pbs.twimg.com/profile_images/1518964563223453696/ES13I2qr_normal.jpg,just happy to be here. lgbt(q),cec,"{'followers_count': 124, 'following_count': 210, 'tweet_count': 6410, 'listed_count': 0}",https://t.co/hH9iKRxjWA,1.495135193904124e+18,False,False,junglecruisin,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/hH9iKRxjWA', 'expanded_url': 'https://blacklivesmatters.carrd.co/', 'display_url': 'blacklivesmatters.carrd.co'}]}}"
2598330543.0,"Madrid, España",https://pbs.twimg.com/profile_images/1511324965177643012/kY7rhdt3_normal.jpg,"Carpe diem, quam minimum credula postero",oscar074,"{'followers_count': 21, 'following_count': 292, 'tweet_count': 360, 'listed_count': 0}",,,False,False,oskarul,
